ID F 1O 2O 3O 4O 5O
OGLE-LMC-CEP-1017 -1. 0.4454301 0.3581991 -1. -1. -1.
OGLE-LMC-CEP-1023 -1. 0.5947076 0.4777218 -1. -1. -1.
OGLE-LMC-CEP-1026 -1. 0.4146549 0.3328509 -1. -1. -1.
OGLE-LMC-CEP-1027 -1. 1.2181252 0.9753569 -1. -1. -1.
OGLE-LMC-CEP-1032 -1. 1.0175741 0.8169500 -1. -1. -1.
OGLE-LMC-CEP-1041 -1. 0.6815659 0.5497273 -1. -1. -1.
OGLE-LMC-CEP-1054 -1. 0.6855431 0.5533594 -1. -1. -1.
OGLE-LMC-CEP-1055 -1. 0.9804376 0.7884231 -1. -1. -1.
OGLE-LMC-CEP-1063 -1. 0.6608621 0.5333784 -1. -1. -1.
OGLE-LMC-CEP-1069 -1. 0.8178486 0.6594455 -1. -1. -1.
OGLE-LMC-CEP-1099 -1. 0.6530227 0.5246757 -1. -1. -1.
OGLE-LMC-CEP-1102 -1. 0.4833357 0.3878966 -1. -1. -1.
OGLE-LMC-CEP-1103 -1. 0.7576614 0.6103408 -1. -1. -1.
OGLE-LMC-CEP-1105 -1. 1.2175156 0.9783572 -1. -1. -1.
OGLE-LMC-CEP-1125 -1. 0.7683079 0.6203519 -1. -1. -1.
OGLE-LMC-CEP-1151 -1. 1.0843365 0.8698541 -1. -1. -1.
OGLE-LMC-CEP-1152 -1. 0.6068451 0.4875015 -1. -1. -1.
OGLE-LMC-CEP-1155 -1. 0.7786211 0.6269096 -1. -1. -1.
OGLE-LMC-CEP-1171 -1. 0.7360031 0.5927722 -1. -1. -1.
OGLE-LMC-CEP-1177 -1. 0.5577055 0.4492337 -1. -1. -1.
OGLE-LMC-CEP-1179 -1. 0.4489746 0.3609760 -1. -1. -1.
OGLE-LMC-CEP-1206 -1. 0.5262655 0.4229109 -1. -1. -1.
OGLE-LMC-CEP-1239 -1. 0.6330726 0.5101730 -1. -1. -1.
OGLE-LMC-CEP-1291 -1. 0.4913904 0.3945951 -1. -1. -1.
OGLE-LMC-CEP-1311 -1. 0.5048640 0.4059979 -1. -1. -1.
OGLE-LMC-CEP-1343 -1. 1.0988391 0.8821491 -1. -1. -1.
OGLE-LMC-CEP-1347 -1. 0.6900006 0.5556745 -1. -1. -1.
OGLE-LMC-CEP-1352 -1. 1.1985624 0.9600788 -1. -1. -1.
OGLE-LMC-CEP-1358 -1. 0.3703338 0.2974362 -1. -1. -1.
OGLE-LMC-CEP-1384 -1. 0.6651884 0.5363849 -1. -1. -1.
OGLE-LMC-CEP-1385 -1. 0.9347229 0.7517181 -1. -1. -1.
OGLE-LMC-CEP-1400 -1. 0.7654629 0.6176644 -1. -1. -1.
OGLE-LMC-CEP-1402 -1. 0.6736140 0.5434238 -1. -1. -1.
OGLE-LMC-CEP-1408 -1. 0.3165883 0.2547867 -1. -1. -1.
OGLE-LMC-CEP-1432 -1. 0.8987584 0.7227670 -1. -1. -1.
OGLE-LMC-CEP-1447 -1. 0.7478946 0.6013963 -1. -1. -1.
OGLE-LMC-CEP-1448 -1. 0.7115452 0.5741631 -1. -1. -1.
OGLE-LMC-CEP-1464 -1. 1.1542931 0.9293624 -1. -1. -1.
OGLE-LMC-CEP-1471 -1. 0.6523943 0.5268915 -1. -1. -1.
OGLE-LMC-CEP-1473 -1. 1.1806535 0.9486228 -1. -1. -1.
OGLE-LMC-CEP-1477 -1. 0.9402359 0.7570625 -1. -1. -1.
OGLE-LMC-CEP-1485 -1. 1.0223832 0.8211166 -1. -1. -1.
OGLE-LMC-CEP-1487 -1. 0.6297767 0.5072498 -1. -1. -1.
OGLE-LMC-CEP-1540 -1. 0.5867832 0.4734407 -1. -1. -1.
OGLE-LMC-CEP-1542 -1. 0.4099929 0.3291574 -1. -1. -1.
OGLE-LMC-CEP-1554 -1. 0.6212463 0.5009600 -1. -1. -1.
OGLE-LMC-CEP-1562 -1. 0.8495137 0.6842652 -1. -1. -1.
OGLE-LMC-CEP-1586 -1. 0.6052272 0.4883558 -1. -1. -1.
OGLE-LMC-CEP-1613 -1. 0.5147771 0.4133693 -1. -1. -1.
OGLE-LMC-CEP-1618 -1. 0.4035469 0.3240131 -1. -1. -1.
OGLE-LMC-CEP-1635 -1. 1.3415657 1.0749910 -1. -1. -1.
OGLE-LMC-CEP-1673 -1. 1.0812781 0.8673206 -1. -1. -1.
OGLE-LMC-CEP-1681 -1. 0.8962755 0.7221319 -1. -1. -1.
OGLE-LMC-CEP-1689 -1. 0.8094932 0.6526255 -1. -1. -1.
OGLE-LMC-CEP-1699 -1. 0.8242654 0.6650515 -1. -1. -1.
OGLE-LMC-CEP-1708 -1. 0.2419824 0.1942195 -1. -1. -1.
OGLE-LMC-CEP-1710 -1. 0.8885263 0.7167444 -1. -1. -1.
OGLE-LMC-CEP-1731 -1. 1.0812682 0.8677005 -1. -1. -1.
OGLE-LMC-CEP-1733 -1. 0.3896132 0.3128995 -1. -1. -1.
OGLE-LMC-CEP-1734 -1. 0.5901103 0.4745227 -1. -1. -1.
OGLE-LMC-CEP-1816 -1. 0.9201509 0.7400341 -1. -1. -1.
OGLE-LMC-CEP-1823 -1. 0.7833440 0.6311927 -1. -1. -1.
OGLE-LMC-CEP-1855 -1. 0.8348464 0.6733273 -1. -1. -1.
OGLE-LMC-CEP-1859 -1. 1.3478897 1.0762984 -1. -1. -1.
OGLE-LMC-CEP-1863 -1. 0.7158781 0.5779683 -1. -1. -1.
OGLE-LMC-CEP-1869 -1. 0.2930049 0.2350355 -1. -1. -1.
OGLE-LMC-CEP-1886 -1. 0.8897331 0.7157954 -1. -1. -1.
OGLE-LMC-CEP-1934 -1. 1.2950682 1.0367763 -1. -1. -1.
OGLE-LMC-CEP-1966 -1. 0.6465250 0.5204430 -1. -1. -1.
OGLE-LMC-CEP-1979 -1. 0.7408490 0.5951588 -1. -1. -1.
OGLE-LMC-CEP-1980 -1. 0.7292502 0.5884166 -1. -1. -1.
OGLE-LMC-CEP-2009 -1. 0.9493450 0.7641412 -1. -1. -1.
OGLE-LMC-CEP-2010 -1. 0.6007616 0.4845647 -1. -1. -1.
OGLE-LMC-CEP-2020 -1. 1.0165342 0.8172808 -1. -1. -1.
OGLE-LMC-CEP-2025 -1. 0.7109468 0.5732055 -1. -1. -1.
OGLE-LMC-CEP-2045 -1. 0.6329718 0.5101351 -1. -1. -1.
OGLE-LMC-CEP-2048 -1. 0.2838136 0.2286036 -1. -1. -1.
OGLE-LMC-CEP-2070 -1. 0.5877246 0.4733422 -1. -1. -1.
OGLE-LMC-CEP-2072 -1. 0.7380574 0.5942739 -1. -1. -1.
OGLE-LMC-CEP-2087 -1. 0.5205094 0.4186543 -1. -1. -1.
OGLE-LMC-CEP-2089 -1. 0.6604201 0.5321584 -1. -1. -1.
OGLE-LMC-CEP-2098 -1. 0.7671147 0.6183652 -1. -1. -1.
OGLE-LMC-CEP-2110 -1. 1.0919726 0.8759091 -1. -1. -1.
OGLE-LMC-CEP-2131 -1. 0.6684652 0.5390969 -1. -1. -1.
OGLE-LMC-CEP-2167 -1. 0.7240908 0.5846111 -1. -1. -1.
OGLE-LMC-CEP-2173 -1. 0.5840497 0.4712397 -1. -1. -1.
OGLE-LMC-CEP-2175 -1. 0.9325614 0.7513702 -1. -1. -1.
OGLE-LMC-CEP-2220 -1. 0.6554669 0.5291952 -1. -1. -1.
OGLE-LMC-CEP-2260 -1. 1.1864614 0.9525625 -1. -1. -1.
OGLE-LMC-CEP-2328 -1. 0.9519981 0.7660257 -1. -1. -1.
OGLE-LMC-CEP-2333 -1. 1.3229269 1.0556753 -1. -1. -1.
OGLE-LMC-CEP-2346 -1. 0.6289684 0.5072758 -1. -1. -1.
OGLE-LMC-CEP-2390 -1. 0.5900992 0.4760639 -1. -1. -1.
OGLE-LMC-CEP-2415 -1. 0.9149048 0.7362994 -1. -1. -1.
OGLE-LMC-CEP-2431 -1. 0.4988908 0.4022667 -1. -1. -1.
OGLE-LMC-CEP-2436 -1. 0.7912666 0.6371765 -1. -1. -1.
OGLE-LMC-CEP-2438 -1. 0.7498030 0.6036677 -1. -1. -1.
OGLE-LMC-CEP-2442 -1. 0.8566265 0.6891911 -1. -1. -1.
OGLE-LMC-CEP-2469 -1. 0.7048189 0.5683823 -1. -1. -1.
OGLE-LMC-CEP-2486 -1. 0.7914016 0.6378539 -1. -1. -1.
