ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-04354 0.4909795 0.3656002 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04386 0.4903298 0.3648127 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04398 0.5828112 0.4349095 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04414 0.4816959 0.3584949 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04419 0.4863252 0.3620534 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04443 0.4864454 0.3620098 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04467 0.4838551 0.3602574 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04491 0.4831727 0.3595044 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04512 0.4785922 0.3563506 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04517 0.4854298 0.3614695 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04531 0.4628057 0.3437927 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04544 0.4826070 0.3593971 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04582 0.4975163 0.3703225 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04595 0.4845671 0.3604139 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04603 0.4935154 0.3674074 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04607 0.4859394 0.3617534 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04636 0.4626373 0.3436645 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04637 0.5345134 0.3988210 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04643 0.4844985 0.3605884 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04648 0.4779061 0.3556394 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04652 0.4741953 0.3526820 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04661 0.4870600 0.3626526 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04675 0.4822922 0.3589733 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04686 0.5115770 0.3808475 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04688 0.4941383 0.3679131 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04699 0.4619357 0.3430795 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04726 0.4839302 0.3603011 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04761 0.4992481 0.3718072 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04777 0.4737813 0.3520472 -1. -1. -1. -1.
OGLE-LMC-RRLYR-04824 0.4656592 0.3460888 -1. -1. -1. -1.
